secondsSinceEpoch, millisDuration, memoryInMb
1342684089, 655, 20
1342693532, 841, 15
1342783120, 585, 15
1342788973, 617, 15
1342789130, 675, 15
1342789262, 627, 15
1342789778, 667, 16
1342790644, 739, 14
1342790925, 739, 15
1342791382, 1353, 14
1342791398, 1409, 15
1342791551, 1329, 20
1342791677, 911, 15
1342791708, 1158, 11
1342791822, 886, 8
1342792107, 1263, 19
1342792169, 1046, 12
1342792262, 1031, 16
1342792340, 1026, 16
1342792387, 805, 20
1342792716, 803, 18
1342807727, 1046, 16
1342810063, 1040, 16
1342810119, 733, 16
1342810287, 1017, 19
1342810356, 700, 13
1342810472, 712, 12
1342810513, 734, 15
1342812074, 699, 12
1342977594, 1146, 19
1342978316, 760, 21
1342978416, 744, 16
1342980420, 955, 15
1342980465, 762, 16
1342980507, 914, 11
1342980621, 793, 7
1342996682, 753, 6
1342997513, 788, 22
1342997574, 739, 16
1342997858, 596, 17
1342997903, 592, 18
1342998953, 1108, 20
1342998964, 734, 20
1342999275, 799, 10
1342999418, 451, 20
1342999429, 833, 7
1342999667, 833, 22
1342999780, 664, 23
1343000224, 696, 20
1343000289, 604, 22
1343000460, 840, 6
1343002738, 1140, 13
1343003160, 1321, 13
1343004338, 1012, 13
1343004476, 1143, 13
1343004566, 873, 19
1343005742, 843, 18
1343005849, 1148, 8
1343156223, 815, 19
1343157415, 984, 19
1343222334, 967, 18
1343222764, 811, 18
1343223070, 997, 18
1343226694, 981, 19
1343227492, 868, 20
1343247865, 941, 18
1343253181, 880, 16
1343253222, 954, 15
1343253900, 1319, 12
1343291407, 906, 12
1343291491, 909, 11
1343315509, 939, 10
1343316733, 1140, 12
1343316807, 1447, 10
1343343651, 1208, 7
1343343665, 791, 10
1343343686, 1113, 15
1343345051, 783, 13
1343345101, 774, 13
1343345562, 784, 13
1343410744, 888, 11
1343410813, 949, 13
1343412010, 782, 13
1343412031, 806, 13
1343412168, 859, 13
1343412347, 804, 13
1343412601, 833, 13
1343412630, 797, 11
1343412861, 805, 11
1343413121, 787, 13
1343413398, 767, 13
1343417677, 839, 11
1343417784, 857, 11
1343417910, 800, 11
1343418032, 993, 12
1343418101, 878, 11
1343418134, 792, 12
1343418191, 841, 11
1343418203, 790, 13
1343418228, 869, 11
1343418492, 884, 12
1343418521, 781, 13
1343418804, 799, 11
1343418898, 849, 11
1343491111, 790, 13
1343519961, 57538, 19
1343526866, 56750, 17
1343573069, 10322, 5
1343573930, 10428, 6
1343574388, 10928, 8
1343574693, 10777, 6
1343843219, 1133, 8
1343843257, 632, 14
1343911377, 710, 14
1343911393, 661, 14
1343911502, 667, 15
1343912738, 680, 14
1343912832, 672, 15
1343913070, 714, 15
1343913115, 713, 15
1343916915, 753, 15
1343919328, 667, 15
1343920389, 665, 15
1343920495, 2252, 11
1343925574, 2296, 11
1343926266, 2549, 11
1343927223, 2183, 11
1343931631, 732, 15
1343950279, 735, 15
1343950773, 715, 15
1343952673, 714, 18
1343956029, 703, 18
1343994849, 647, 13
1343997162, 650, 14
1344184979, 667, 15
1344185024, 732, 14
1344185069, 666, 15
1344185173, 676, 15
1344185340, 683, 8
1344185400, 723, 15
1344185598, 666, 15
1344185713, 671, 15
1344188213, 706, 15
1344192541, 740, 15
1344195137, 770, 15
1344195466, 818, 16
1344196819, 718, 15
1344196910, 868, 15
1344197053, 806, 15
1344197180, 787, 15
1344197331, 729, 18
1344197547, 689, 15
1344197859, 798, 15
1344234205, 705, 15
1344263785, 667, 15
1344264227, 721, 15
1344265309, 713, 15
1344267523, 1078, 8
1344272630, 1036, 12
1344272752, 1084, 10
1344273291, 990, 18
1344273877, 984, 14
1344273895, 963, 9
1344273951, 1121, 10
1344273968, 977, 8
1344346624, 939, 13
1344347755, 890, 16
1344348729, 867, 16
1344348923, 982, 16
1344348949, 876, 18
1344354753, 1071, 16
1344356513, 914, 16
1344408010, 7173, 24
1344408521, 1142, 21
1344408745, 1019, 20
1344409688, 1008, 17
1344443617, 932, 11
1344444189, 868, 14
1344444232, 917, 9
1344444430, 853, 16
1344445344, 929, 21
1344445420, 864, 15
1344458487, 1039, 18
1344459259, 955, 18
1344459374, 1128, 17
1344459849, 985, 9
1344492220, 1054, 18
1344495257, 944, 13
1344495501, 912, 22
1344499891, 971, 11
1344503556, 949, 9
1344519010, 941, 22
1344519283, 919, 12
1344520677, 999, 11
1344582592, 1015, 10
1344589413, 1050, 9
1344590783, 1272, 21
1344590868, 941, 21
1344603660, 1187, 11
1344604882, 938, 18
1344609648, 965, 20
1344609822, 950, 23
1344610001, 946, 12
1344840432, 938, 19
1344840481, 955, 18
1344846680, 944, 12
1344875755, 960, 12
1344875842, 976, 23
1344875915, 931, 11
1344876317, 914, 14
1344876329, 957, 14
1344926310, 946, 17
1344927964, 983, 24
1344928031, 919, 22
1344946975, 999, 9
1344947580, 989, 26
1344950190, 975, 16
1344950766, 949, 22
1344958030, 933, 15
1344971291, 996, 12
1344982443, 1020, 19
1345057731, 1045, 24
